%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1438351937051485462,132628,1438351937051485462,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139260441065,-0.0310081727803,0.00866040587425,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0489445067942,-1.4292974472,9.4624786377,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937063359666,132629,1438351937063359666,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0142453918234,-0.0305188056082,0.00973885320127,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.062452044338,-1.42593896389,9.46784591675,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937073644699,132630,1438351937073644699,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013465882279,-0.0303361825645,0.00997573137283,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0614347681403,-1.42418408394,9.43783664703,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937085598392,132631,1438351937085598392,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0137559194118,-0.0294719357044,0.00927618984133,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0481019169092,-1.41285037994,9.49199485779,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937095911449,132632,1438351937095911449,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0145213920623,-0.0307467915118,0.00988448690623,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0440476834774,-1.42230594158,9.44077110291,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937107814525,132633,1438351937107814525,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0134808709845,-0.0308270398527,0.00905666127801,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0444288104773,-1.42272293568,9.45302581787,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937117909173,132634,1438351937117909173,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0131627405062,-0.0305839125067,0.00830680783838,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0402014255524,-1.43262636662,9.46694755554,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937128032803,132635,1438351937128032803,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139025226235,-0.0308109931648,0.00878236163408,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0347839482129,-1.42858707905,9.45726680756,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937140212297,132636,1438351937140212297,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139602171257,-0.0302877370268,0.00972936488688,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0442440360785,-1.42756664753,9.47755050659,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937152237335,132637,1438351937152237335,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0134840346873,-0.0299387164414,0.00905844662338,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0511586181819,-1.42874932289,9.478474617,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351937162217022,132638,1438351937162217022,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138858547434,-0.0309113357216,0.00930913444608,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.044454280287,-1.42944514751,9.47403240204,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
